site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,22,0,29,0.000137661494210076,-0.0343403501784034,0.0249442274516979,0.394761621809868,0.0631880762302471,0.950050270208124
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfc_left,22,0,29,0.0418576776302762,0.0088182872037339,-0.45174210851926,0.401346077825656,-1.12556751760633,0.26957788916383
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_right,22,0,29,0.00238088884066074,-0.0320197701648337,-0.10589048928147,0.402504533658385,-0.263078997692337,0.794349852347563
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypven_left,22,0,29,0.00649429764457942,-0.0277645196780214,-0.176439244573619,0.405242772730645,-0.435391465182018,0.666501751481822
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_left,22,0,29,0.0615064081475707,0.0291445601526593,-0.60643989348515,0.439890149314157,-1.37861667152735,0.178555661478851
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_mid,22,0,29,0.0814814814814815,0.0498084291187739,-0.195456578744306,0.121861296321504,-1.60392663334745,0.119567293364696
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.hipcom,22,0,29,0.0855342136519781,0.05400091067446,-0.783989593229097,0.476019886109269,-1.64696815428659,0.11035999129728
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_left,22,0,29,0.0762299051489237,0.0443757639471624,-0.846809616363794,0.547401574132367,-1.54696233328519,0.13271696326403
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_post,22,0,29,0.048125225613266,0.0153019575309646,-0.484935899280782,0.400487399367679,-1.21086431195198,0.23572345994637
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_right,22,0,29,0.00372923588669421,-0.0306249283930751,-0.133600416526685,0.405496937702069,-0.329473305726529,0.74416590397636
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_right,22,0,29,0.0410072095282399,0.00793849261542046,-0.508262542955926,0.456422103889704,-1.11358003616483,0.274604473959702
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_temp,22,0,29,0.00305612966145506,-0.0313212451778051,-0.152213217957143,0.510508331681509,-0.298160105351824,0.767706813473755
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_left,22,0,29,0.0745046390077945,0.0425910058701321,-1.00538454414426,0.658004208422777,-1.52793026438866,0.137364724366677
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_right,22,0,29,0.0814814814814815,0.0498084291187739,-0.181937977981057,0.113432855467551,-1.60392663334745,0.119567293364697
