site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fimbria_left,22,0,29,0.080758990052474,0.0490610241922144,-0.62335295257571,0.39052988899947,-1.59617220124362,0.121291665282194
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofb_left,22,0,29,0.26361501312745,0.238222427373225,-1.31529939823706,0.408218812727181,-3.22204503376501,0.00313652630452419
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_ant,22,0,29,0.0595871244464213,0.0271590942549186,0.488740554996242,0.36054746643679,1.35555121167916,0.185705834113801
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cing_right,22,0,29,0.00967477673715053,-0.024474368892603,-0.216710139776931,0.407144598736642,-0.53226824192038,0.598595003235866
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cing_left,22,0,29,0.0231883127931021,-0.0104948488347221,-0.305444102226816,0.368132019614996,-0.829713488509527,0.413478881581267
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.ilf_left,22,0,29,0.00576106609149419,-0.0285230350777648,-0.160794115196357,0.392251944758416,-0.409925603543887,0.684873047136741
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.fornix_left,22,0,29,0.020206848541009,-0.0135791221989563,-0.312106929449592,0.40357320028524,-0.7733589079478,0.445568499828192
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypven_right,22,0,29,0.00252861419555086,-0.0318669508321889,-0.102833345477721,0.379265992868355,-0.271137796194174,0.788205745898383
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_mid,22,0,29,0.0133983277195463,-0.0206224196004694,-0.250891962991144,0.399791333996252,-0.627557282153333,0.535204585596935
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.hipcom,22,0,29,0.0348190003854973,0.0015368969505144,-0.345451989933071,0.337741892278912,-1.02282837228789,0.314846041793733
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.thalsub_left,22,0,29,0.0804869437411974,0.0487795969736525,-0.594238765319316,0.372973703136708,-1.5932457444634,0.121947726383225
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofa_left,22,0,29,0.156008820878869,0.126905676771244,-0.763147086992772,0.329612466037415,-2.31528587546245,0.0278727981094745
Melbourne-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.chip_right,22,0,29,0.00388140335583016,-0.0304675137698309,0.131245795104135,0.390433914309338,0.33615367490886,0.739175193793512
