site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofb_left,22,0,29,0.0455880911407451,0.0126773356628397,0.4207315804876,0.357477188597943,1.17694665256193,0.248786862753237
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_ant,22,0,29,0.127465392470799,0.0973779922111715,1.04270789511121,0.50659260975548,2.05827695673355,0.0486487868803795
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfd_right,22,0,29,0.0419987270044561,0.00896420034943723,0.488371038264491,0.433127622801852,1.12754535281143,0.268754968382063
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.slfd_left,22,0,29,0.0892517385956105,0.0578466261333901,0.873418210764579,0.518100578013574,1.6858082152954,0.102564733669495
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.cc_mid,22,0,29,0.0814814814814815,0.0498084291187739,0.0290177144128161,0.0180916719066227,1.60392663334745,0.119567293364696
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.hipcom,22,0,29,0.170045181980081,0.141426050324222,1.5798571410069,0.648132617730334,2.43755228141323,0.0211522177874374
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.opticrad_left,22,0,29,0.0732486684854148,0.0412917260193946,0.798966945031863,0.527729722719826,1.51396995589736,0.140857222105633
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.vofa_left,22,0,29,0.0549679391182608,0.0223806266740628,0.562127907043615,0.432817379820004,1.29876463666359,0.204257350005135
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypdor_left,22,0,29,0.0447534081901424,0.0118138705415266,26.4198987899179,22.6661021549208,1.16561279964858,0.253268811071329
Melbourne-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harmz.map.dti_FA_mean.amyhypdor_right,22,0,29,0.0814814814814815,0.0498084291187739,0.0093173508936951,0.00580908795949691,1.60392663334745,0.119567293364696
