site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_left,22,0,30,0.167995145867322,0.140261650729566,-0.859875350384441,0.349373077558283,-2.46119522544205,0.0198193325700769
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofb_left,22,0,30,3.82319768832316e-05,-0.0332938269572207,0.0113942018903663,0.336435335727629,0.0338674350770062,0.973207198006175
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfc_left,22,0,30,0.0513004256999514,0.0196771065566164,0.499091536384046,0.391853243705493,1.27366952909327,0.212560620608937
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypdor_left,22,0,30,0.0146627565982405,-0.0181818181818183,0.155671870912624,0.232988322285256,0.668153104781061,0.509144222500614
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.slfb_left,22,0,30,0.00453461711242818,-0.0286475623171576,0.13046555037683,0.352921399796472,0.369673106963954,0.714222880446682
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ilf_left,22,0,30,0.000257272592409111,-0.0330674849878441,-0.0343213903925098,0.390617423666645,-0.0878644635724184,0.930568300990102
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalslat_left,22,0,30,0.0152670070316649,-0.0175574260672797,-0.255631072868407,0.374830832122402,-0.681990516684418,0.500476874991344
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.intcap_right,22,0,30,0.0128130261276829,-0.0200932063347279,-0.231326659546048,0.370713935019653,-0.624003140140346,0.537342048222411
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_right,22,0,30,0.0973743607960357,0.0672868394892367,0.747587732580861,0.415559353349212,1.7989914715086,0.0820880023862092
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fornix_left,22,0,30,0.0152960060575303,-0.0175274604072189,0.268744106196531,0.393678908066542,0.682647966883473,0.500067122171929
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.amyhypven_left,22,0,30,0.0901272799109947,0.059798189241361,-0.660920831173903,0.383399024072144,-1.72384588816673,0.0950282603702046
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsub_left,22,0,30,0.0739984490373644,0.0431317306719431,0.605490971732304,0.391058376509626,1.54833909232833,0.132026522711494
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ifof_left,22,0,30,0.0299040241091253,-0.00243250842057052,-0.364025655815862,0.378541849803305,-0.961652340434787,0.34391177257243
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_left,22,0,30,0.00280836091837817,-0.0304313603843427,-0.111712923299403,0.384331201065125,-0.290668368817844,0.773304967260533
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.vofa_left,22,0,30,0.229278178898107,0.203587451528044,-1.54611563290139,0.517545825341603,-2.98739852047089,0.00556340746119266
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cerped_right,22,0,30,0.0235748772195607,-0.00897262687312073,-0.314598897696013,0.369650520408814,-0.851071161344728,0.401472170581851
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.thalsmed_right,22,0,30,0.00416259462210957,-0.0290319855571535,0.133691941979743,0.377534602533628,0.354118380361796,0.725727086673049
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_post,22,0,30,0.000606648061542214,-0.0327064636697398,0.0472778017411627,0.350345439604061,0.134946245610028,0.893555723407839
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.fimbria_right,22,0,30,0.0785106261811734,0.0477943137205458,-0.596434558400798,0.373063806386627,-1.5987467778707,0.120357423392482
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.opticrad_right,22,0,30,0.0701744354459743,0.0391802499608399,0.705132997540775,0.468620937634704,1.50469802117641,0.142858298931479
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.ant_comm,22,0,30,0.0221657752489191,-0.0104286989094504,-0.298029215298515,0.361401013497628,-0.824649638954239,0.41607947962583
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.hipcom,22,0,30,0.155908166010515,0.127771771544199,-0.761260143400433,0.32339468876159,-2.35396612824907,0.0253182520610949
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.density_mean,native.dwi.tract.bundles.tissue.map.density_mean.cc_temp,22,0,30,0.0160034956075198,-0.0167963878722297,-0.388378217583059,0.556011260618466,-0.698507827253454,0.490239433011112
