site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ifof_right,22,0,30,4.90367482112753e-05,-0.0332826620268485,0.013033612194404,0.339807286667901,0.0383558937838258,0.96965803567094
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_left,22,0,30,0.0731955293538615,0.0423020469989902,0.583495217120947,0.379077890492161,1.53924887669758,0.134225902435722
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_ant,22,0,30,0.0548612017577604,0.0233565751496857,-0.471031841535837,0.356947854756206,-1.31960967199971,0.196947830098375
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cerped_left,22,0,30,0.0514183580249226,0.0197989699590867,-0.478227137108038,0.375017768278883,-1.27521194343091,0.21202160750865
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_right,22,0,30,0.00805339809975574,-0.0250114886302526,0.192000329707437,0.389041481312294,0.49352148531769,0.625237935715302
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_right,22,0,30,0.0235012099429069,-0.00904874972566305,-0.306923001905103,0.361209824007157,-0.849708345415936,0.402217617069765
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cing_left,22,0,30,0.0400237560782636,0.00802454794753893,-0.450140799804334,0.402493686361869,-1.1183797785082,0.272280601024405
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_right,22,0,30,0.106858486994774,0.0770871032279334,0.773630221557684,0.408346114079093,1.89454532536053,0.0678281427613745
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_right,22,0,30,0.0226509887191077,-0.00992731165692229,0.356378187287451,0.4273972704085,0.833833559458229,0.410965084141161
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_left,22,0,30,0.0195338906364413,-0.0131483130090109,-0.302085009315502,0.390742332167509,-0.773105405907236,0.445509085299772
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_mid,22,0,30,0.0521742591231991,0.020580067760639,-0.447789754189253,0.348457349657659,-1.2850633072575,0.208603397602279
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofb_right,22,0,30,0.0284930820103236,-0.00389048192266572,0.321124146751864,0.342346246552926,0.938009836489384,0.355730290727192
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.atr_right,22,0,30,0.0680751697496864,0.0370110087413426,-0.52619352429253,0.355451987435657,-1.48035049146484,0.149206194048686
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_left,22,0,30,0.109353556296862,0.0796653415067573,-0.965529537192038,0.503084746990464,-1.91921846760013,0.0645134405542146
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,22,0,30,0.343559587386588,0.321678240299474,-3.05084750075309,0.769939305339297,-3.96245194860996,0.000423310922825276
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_left,22,0,30,0.0543089565863395,0.022785921805884,-0.431840132798922,0.329004078609949,-1.31256771838045,0.199282177761069
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_right,22,0,30,0.00708168665280261,-0.0260155904587707,-0.151028272475485,0.32650214191175,-0.462564415630408,0.647014267207008
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsmed_right,22,0,30,0.0122059201966887,-0.0207205491300886,0.223822444736615,0.367613078761939,0.608853323419321,0.54720482305039
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.intcap_left,22,0,30,0.0853673684472962,0.054879614062206,-0.630483141382873,0.376782089209571,-1.67333628492142,0.104658731523379
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_right,22,0,30,0.0214780700708645,-0.0111393275934402,0.370208542222939,0.456219098780433,0.811470942826774,0.423487116853766
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_left,22,0,30,0.0816531455182698,0.0510415837022121,-0.573512755027797,0.35115541133723,-1.63321633815584,0.112876680305436
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsmed_left,22,0,30,0.0431750656175795,0.0112809011381654,-0.440518473470942,0.378619726329887,-1.16348526723915,0.253803434263023
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.atr_left,22,0,30,0.0998719414030046,0.0698676727831047,-0.632567583283501,0.346718255274013,-1.82444268122998,0.0780596850422675
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ant_comm,22,0,30,0.00145759535630611,-0.0318271514651505,0.0729729773934849,0.348711449657784,0.209264644063447,0.835656190187255
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.hipcom,22,0,30,0.210337878517368,0.18401580780128,-0.951487015930034,0.336592277288711,-2.82682366807216,0.00828991329099551
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_left,22,0,30,0.00337990657243887,-0.0298407632084798,-0.128861037785946,0.403992654691619,-0.318968764133373,0.751960550621775
