site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_left,22,0,30,0.00378582324599546,-0.0294213159791381,-0.121066269368488,0.358557428583513,-0.33764819724071,0.737979584060431
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfc_left,22,0,30,0.000227076947633528,-0.0330986871541121,-0.0312281401813635,0.378311596645198,-0.0825460822726274,0.934760788028144
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypdor_left,22,0,30,0.0267494358500422,-0.00569224962162318,0.331074679891171,0.364603101750027,0.90804131479429,0.371093382257119
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_left,22,0,30,0.00873737406627185,-0.0243047134648526,0.192770958025311,0.374873619783294,0.514229190458234,0.610859281559017
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalslat_right,22,0,30,0.00361863039096336,-0.0295940819293381,-0.126678707233119,0.383781186732549,-0.330080555307157,0.743633070778037
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsub_right,22,0,30,0.00316144521006665,-0.0300665066162646,0.11122444968174,0.360586299698448,0.30845445258113,0.759868317627753
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_left,22,0,30,0.0302507301108982,-0.00207424555207192,0.354363015779816,0.366310663904479,0.967383837540209,0.341086787633619
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_right,22,0,30,0.0163140889044478,-0.016475441465404,-0.274397574080799,0.389015094798571,-0.705364850232561,0.486024439839702
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.ilf_right,22,0,30,0.0188729612494452,-0.0138312733755734,-0.253332727521314,0.333482669874187,-0.759657848537941,0.453387640077979
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_left,22,0,30,0.12469050340065,0.0955135201806719,-0.710876543867651,0.343872691689348,-2.06726663980009,0.0474306537098232
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.amyhypven_left,22,0,30,0.020696323271362,-0.0119471326195928,0.319374419288207,0.401099013006097,0.796248330043515,0.43214383559616
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofb_right,22,0,30,0.000516388812348697,-0.032799731560573,0.0466328157208333,0.374567798275528,0.124497663535216,0.901751726507072
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.thalsub_left,22,0,30,0.0488371607391647,0.0171317327638035,-0.517615785269718,0.417060556556998,-1.24110462409307,0.224184666257561
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.vofa_left,22,0,30,0.108247059026064,0.0785219609935993,-0.834416175378613,0.437256535377536,-1.90829892264083,0.0659627048640116
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_left,22,0,30,0.0886073645122143,0.0582276099959547,-0.684127514257237,0.400584626142548,-1.70782269116286,0.0979992956394958
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.chip_right,22,0,30,0.0641557102152315,0.0329609005557392,-0.560319739846279,0.390714414908793,-1.43409026763724,0.161888565709348
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.cc_post,22,0,30,0.0169359334134962,-0.0158328688060541,0.312829597577839,0.435144552280004,0.718909603575921,0.477759349816238
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.intcap_left,22,0,30,0.00460184035134722,-0.0285780983036079,-0.144606685610813,0.388293738768828,-0.372415702785527,0.712201435429331
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fornix_right,22,0,30,0.132756599539529,0.103848486190846,-0.700814170102931,0.327027812259334,-2.14298033326653,0.0403454432057109
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfa_left,22,0,30,0.0490969475492718,0.0174001791342475,0.499904009766221,0.40166766132492,1.24457121620711,0.222924997915969
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfb_right,22,0,30,0.0275561848536224,-0.00485860898459034,0.379845389204097,0.411973182280277,0.922014843543088,0.363876849684711
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.fimbria_right,22,0,30,0.0740449855082813,0.0431798183585571,-0.560450230075458,0.361845805081903,-1.54886479877416,0.131900230273527
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.opticrad_right,22,0,30,0.000117966041572928,-0.0332114350903747,-0.0237526042043703,0.399251433250882,-0.0594928464275409,0.952954108536642
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.hipcom,22,0,30,0.0428540371270238,0.0109491716979245,-0.413068022822172,0.356413514846969,-1.15895723819432,0.255615878106275
UCLA-P1,9d,native.dwi.tract.bundles.tissue.map.volume,native.dwi.tract.bundles.tissue.map.volume.slfd_left,22,0,30,0.0741472990185339,0.0432855423191516,0.564496057349139,0.364186268463,1.55002015790304,0.131623019539493
