site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,22,0,30,0.301269319075984,0.277978296378516,-1.15333855134631,0.320681299860856,-3.59652574642407,0.00114174732637822
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_right,22,0,30,0.0835063990440525,0.0529566123455208,-0.593678897259489,0.359083810214657,-1.65331568946145,0.108695120077481
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.ifof_right,22,0,30,0.00696803931401594,-0.0261330260421837,0.378726474262376,0.825451107491283,0.458811516303375,0.649676425585229
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,22,0,30,0.16772241575084,0.139979829609201,-0.865419136738362,0.351968997732466,-2.45879365033216,0.0199294541211377
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,22,0,30,0.0161815547735157,-0.0166123934007005,-0.391744563119867,0.557685954715707,-0.702446528924272,0.487815802596823
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,22,0,30,0.220332094768131,0.194343164593735,-1.1091066111578,0.380915472257318,-2.91168695402473,0.00672194685047005
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,22,0,30,0.0213745947401339,-0.0112462521018619,0.379523628210682,0.468853853839383,0.809471064603207,0.424618279306496
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_left,22,0,30,0.123388487212261,0.0941681034526698,-0.738885292899499,0.359569345941414,-2.05491736500777,0.0486851942695799
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_left,22,0,30,0.0140962704127293,-0.0187671872401798,-0.265508581112578,0.405399378038114,-0.654930903933493,0.517502821030721
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypven_right,22,0,30,0.173834414142619,0.146295561280706,-0.888156891812939,0.353504326811544,-2.51243570290562,0.0175988394656733
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfd_right,22,0,30,0.00639230421268653,-0.0267279523135573,0.221621648725355,0.50446415175937,0.439320907050436,0.663577336177769
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_mid,22,0,30,0.0908110939210457,0.0605047970517472,-0.713063731392439,0.411931810234871,-1.73102371236121,0.0937221261655947
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsub_left,22,0,30,0.197171807967782,0.170410868233375,-0.977874947936181,0.360256305369831,-2.71438676675573,0.0108998910768303
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.opticrad_left,22,0,30,0.163124448476057,0.135228596758592,-0.736538941160596,0.304583237005826,-2.41818607091141,0.0218783806082318
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofa_left,22,0,30,0.333631438282607,0.311419152892027,-1.38498134274629,0.357360923307523,-3.87558138681675,0.000536886422118329
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.chip_right,22,0,30,0.00154836659209845,-0.0317333545214984,-0.0955726899821709,0.44309801266408,-0.21569198518303,0.830687642037471
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfa_left,22,0,30,0.0873542261298987,0.0569327003342286,-0.634779382812289,0.374603084092918,-1.69453859235936,0.100521190812464
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalsmed_left,22,0,30,0.003674918703126,-0.0295359173401033,0.125070101389551,0.375984150873427,0.332647270101701,0.74171393319529
UCLA-P1,30d,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cc_temp,22,0,30,0.0467457909902137,0.0149706506898873,0.371350439300852,0.306165621925523,1.21290704346677,0.234630015950149
