site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.fimbria_left,22,0,30,0.0751551656339086,0.0443270044883722,-0.511217495818562,0.327416152471736,-1.56136919928742,0.128925135802454
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.vofb_left,22,0,30,0.00163745935280396,-0.0316412920021027,-0.0856864145330992,0.386287111319968,-0.221820537165486,0.825956678897136
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfc_left,22,0,30,0.0187032743210342,-0.0140066165349313,0.312712962251736,0.413548651663354,0.75616970577454,0.455444666058436
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.amyhypdor_left,22,0,30,0.0146627565982405,-0.0181818181818183,0.18133021411287,0.271390214032289,0.66815310478106,0.509144222500614
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cerped_left,22,0,30,0.06010325454965,0.0287733630346383,-0.452852976656863,0.326954769891603,-1.38506306791915,0.176247185102006
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.slfb_left,22,0,30,0.113295566951721,0.0837387525167785,-0.728356135228111,0.372019870105005,-1.95784202339119,0.0596066148625238
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_right,22,0,30,0.0204497054611567,-0.0122019710234715,-0.27704738181228,0.350076746464643,-0.791390415416414,0.434928927676688
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_right,22,0,30,0.0903755313368719,0.0600547157147676,-0.620425874078641,0.359364281780383,-1.72645392303568,0.0945519203731413
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.cing_left,22,0,30,0.0946290250896788,0.064449992592668,-0.643639185194131,0.363482034149201,-1.77075928030581,0.0867623216181965
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fit.map.dti_FA_mean.thalslat_left,22,0,30,0.00162761473673976,-0.0316514647720356,-0.0764946628389416,0.345892368922697,-0.221151634761961,0.826472721877788
