site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_left,22,0,30,0.119998346251578,0.0906649577932974,-0.798642032083572,0.394862280547239,-2.02258374990069,0.0521094739365912
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfc_right,22,0,30,0.129626833973987,0.100614395106453,0.770831589890857,0.364673467583642,2.11375835757522,0.0429601224262327
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_ant,22,0,30,0.142521752871373,0.113939144633752,0.826342542092506,0.370058566951843,2.2330047616491,0.0331592221022066
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_left,22,0,30,0.118930627839543,0.0895616487675275,0.149609868431016,0.0743460347122258,2.01234496244644,0.0532370724680607
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfb_left,22,0,30,0.00033285989911178,-0.0329893781042512,-0.0403270152242366,0.403489670967931,-0.0999455949578489,0.921052438873796
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_right,22,0,30,0.225137661893728,0.199308917290185,1.07379099078126,0.363703373290323,2.95238117003692,0.00607355539420418
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_left,22,0,30,0.132620833539606,0.103708194657593,0.751343906821361,0.350813872060519,2.14171663853631,0.0404555150780033
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_right,22,0,30,0.0908074775443676,0.0605010601291798,0.66077368263077,0.381732583725249,1.73098580210894,0.0937289846894497
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_right,22,0,30,0.0449752034406335,0.0131410435553211,0.461460773015771,0.388235207774509,1.18861134635628,0.243916819677466
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fornix_left,22,0,30,0.0783168811043651,0.0475941104745105,0.589818343128111,0.36942031321245,1.59660506483549,0.120835382720909
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_right,22,0,30,0.28314410407037,0.259248907539382,1.20692136903433,0.350615021509893,3.44229794786553,0.00172063056111398
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypven_left,22,0,30,0.146327964258048,0.117872229733316,0.766463965848301,0.337997102192463,2.26766431095572,0.0307144257763089
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofb_right,22,0,30,0.147086797445712,0.118656357360569,0.864768907867804,0.380193783610927,2.27454773104015,0.0302486803953704
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_left,22,0,30,0.141819477924516,0.113213460522,0.784105404065837,0.352156091532324,2.22658480974726,0.0336308189798075
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_left,22,0,30,0.00131908816065795,-0.0319702755673201,-0.0718835429550545,0.361114818482096,-0.199060075289097,0.843558753921248
