site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypdor_left,22,0,30,0.0146627565982405,-0.0181818181818183,-0.141170166604506,0.211284158667143,-0.66815310478106,0.509144222500614
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cerped_left,22,0,30,0.0751665909426821,0.0443388106407714,-0.39730440233929,0.254438061382814,-1.56149752195103,0.128894890985379
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsub_right,22,0,30,0.071043894629783,0.0400786911174423,-0.40816636964932,0.2694702388509,-1.5146992535794,0.140314655933486
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cing_left,22,0,30,0.185402737572862,0.158249495491957,-0.96451086442078,0.369113473729106,-2.61304702501496,0.0138910985825049
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_left,22,0,30,0.00133609888498349,-0.0319526978188505,-0.0625957641067852,0.312445801295246,-0.200341191487593,0.842565712244043
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ilf_right,22,0,30,0.00454385912351139,-0.0286380122390384,0.15158429392388,0.409630432231655,0.370051348719509,0.713943969634207
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.fornix_left,22,0,30,0.0486074838649524,0.0168943999937841,-0.367372611939325,0.296738873550783,-1.23803331711595,0.225305157805556
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.amyhypven_right,22,0,30,0.00383861371110804,-0.029366765831855,0.125677412028238,0.369635988403394,0.340003181430167,0.736223284524002
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.slfd_right,22,0,30,0.012681061611432,-0.0202295696681871,-0.214206259553085,0.345082120281229,-0.620739954241948,0.539458482248522
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsub_left,22,0,30,0.0771688544272963,0.0464078162415394,-0.383419721582206,0.242077215549072,-1.58387364425249,0.123708907709811
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.ifof_left,22,0,30,0.0012522918471098,-0.0320392984246534,-0.0571226165041872,0.294525285756984,-0.193948089575303,0.847523833949491
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.opticrad_left,22,0,30,0.0542924284759533,0.022768842758485,-0.459260764312763,0.349951223301991,-1.31235650494196,0.199352519930768
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.vofa_left,22,0,30,0.00474894426451018,-0.0284260909266729,0.147669507438611,0.390299492069615,0.378349217560018,0.707835387443995
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.chip_right,22,0,30,0.170739763956339,0.143097756088217,-0.783539214044517,0.315266765721807,-2.48532131907591,0.0187436169535001
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.thalsmed_right,22,0,30,0.0032322584814435,-0.0299933329025086,-0.0969777736247364,0.31092491733883,-0.311900938833586,0.757273275977369
UCLA-P1,5mo,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.fitz.map.dti_FA_mean.cc_post,22,0,30,0.24153474110622,0.216252565809761,-0.988984290763294,0.31996819340842,-3.09088312881435,0.00428274588768588
