site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fimbria_left,22,0,30,0.0251545257524393,-0.00734032338914625,-0.407797842969039,0.463494003610927,-0.879834129011425,0.385942954532008
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofb_left,22,0,30,0.262341725243607,0.237753116085061,-1.12245107767948,0.34363763227884,-3.266379966117,0.00272765526271819
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_ant,22,0,30,0.134057644658312,0.105192899480256,0.756406835680862,0.350989008563677,2.15507271517203,0.0393055730082126
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypdor_left,22,0,30,0.146045300771453,0.117580144130501,-0.297964069562084,0.131545771531485,-2.26509804224888,0.030889712892158
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfb_left,22,0,30,0.0937563728478114,0.0635482519427384,-0.747812456683655,0.424476988827865,-1.76172672810518,0.0883047064622128
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ilf_left,22,0,30,0.133162522768063,0.104267940193665,0.779849472336401,0.363268706822739,2.14675654051572,0.0400181111645798
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalslat_left,22,0,30,0.0081420587121893,-0.0249198726640711,-0.202251827252933,0.407558025126343,-0.496252839556367,0.623332616906985
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.intcap_right,22,0,30,0.133062083284023,0.104164152726824,0.984400337681657,0.458751995333239,2.14582246550576,0.0400988583590748
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fornix_left,22,0,30,0.0105219909084356,-0.0224606093946167,0.257239581012534,0.455440112789547,0.564815381405373,0.576398829305456
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.slfd_right,22,0,30,0.0096272869874648,-0.0233851367796198,-0.21999857612895,0.407386484355521,-0.540024238842837,0.593166830524444
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.amyhypven_left,22,0,30,0.0364071779166533,0.0042874171805416,0.458349296062347,0.430515915606905,1.06465122297791,0.295528192775063
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_mid,22,0,30,0.00839241509817954,-0.0246611710652145,-0.141622589771256,0.281059549810747,-0.503888196884318,0.618020463960528
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsub_left,22,0,30,0.0284738168523856,-0.00391038925253495,-0.342682737362453,0.365456769741976,-0.937683375257757,0.355895346753371
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ifof_left,22,0,30,0.200425740568259,0.173773265253868,0.960952418667195,0.350424054816188,2.74225586246143,0.0101894775686059
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.atr_right,22,0,30,0.105749692045959,0.0759413484474909,0.706008926333772,0.374834501212672,1.8835217250538,0.0693560433835096
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.vofa_left,22,0,30,0.252508136575182,0.227591741127688,-1.23612726309264,0.388300637886229,-3.18342836061686,0.0033797779377481
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.chip_left,22,0,30,0.00267922812172241,-0.0305647976075536,-0.066177897176309,0.233112156268121,-0.283888657870731,0.778445867031074
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.cc_post,22,0,30,0.0206595004547749,-0.0119851828633994,-0.288571215328498,0.362743242209818,-0.795524717622671,0.432558000858533
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fornix_right,22,0,30,0.0320666974425602,-0.00019774597602118,0.423997897257098,0.425303223678853,0.996930833464028,0.326771739820268
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.fimbria_right,22,0,30,0.0720642483078936,0.0411330565848232,0.638948709941659,0.418604982820533,1.52637626441153,0.137391249935439
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.opticrad_right,22,0,30,0.0260396023615875,-0.00642574422635955,0.366008443028495,0.408680533390149,0.895585703562452,0.377604124843469
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.thalsmed_left,22,0,30,0.0153154581056546,-0.0175073599574904,-0.267473916289308,0.39156545801255,-0.683088640266974,0.499792579225211
UCLA-P1,2d,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean,native.dwi.tract.bundles.tissue.whole.voxel.harm.map.dti_FA_mean.ant_comm,22,0,30,0.101700722854546,0.0717574136163637,0.94934131382418,0.515122190595278,1.84294392894842,0.0752385669781535
