Site,id,status
UCLA,3001,Sham
UCLA,3003,Sham
UCLA,3004,Sham
UCLA,3006,Sham
UCLA,3029,Sham
UCLA,3038,Sham
UCLA,3075,Sham
UCLA,3118,Sham
UCLA,3120,Sham
UCLA,3144,Sham
UCLA,3016,TBI
UCLA,3024,TBI
UCLA,3026,TBI
UCLA,3028,TBI
UCLA,3030,TBI
UCLA,3032,TBI
UCLA,3034,TBI
UCLA,3037,TBI
UCLA,3043,TBI
UCLA,3074,TBI
UCLA,3106,TBI
UCLA,3107,TBI
UCLA,3116,TBI
UCLA,3119,TBI
UCLA,3124,TBI
UCLA,3126,TBI
UCLA,3127,TBI
UCLA,3128,TBI
UCLA,3139,TBI
UCLA,3141,TBI
UCLA,3154,TBI
UCLA,3162,TBI
UCLA,45,PTE
UCLA,3022,PTE
UCLA,3027,PTE
UCLA,3072,PTE
UCLA,3073,PTE
UCLA,3152,PTE
UCLA,3153,PTE
Finland,1017,Sham
Finland,1035,Sham
Finland,1045,Sham
Finland,1085,Sham
Finland,1091,Sham
Finland,1096,Sham
Finland,1107,Sham
Finland,1143,Sham
Finland,1146,Sham
Finland,1155,Sham
Finland,1161,Sham
Finland,1019,TBI
Finland,1028,TBI
Finland,1036,TBI
Finland,1038,TBI
Finland,1043,TBI
Finland,1046,TBI
Finland,1090,TBI
Finland,1095,TBI
Finland,1099,TBI
Finland,1103,TBI
Finland,1105,TBI
Finland,1138,TBI
Finland,1139,TBI
Finland,1142,TBI
Finland,1145,TBI
Finland,1149,TBI
Finland,1150,TBI
Finland,1152,TBI
Finland,1153,TBI
Finland,1154,TBI
Finland,1156,TBI
Finland,1158,TBI
Finland,1159,TBI
Finland,1008,PTE
Finland,1012,PTE
Finland,1024,PTE
Finland,1029,PTE
Finland,1031,PTE
Finland,1084,PTE
Finland,1104,PTE
Finland,1140,PTE
Finland,1144,PTE
Melbourne,2404,Sham
Melbourne,2405,Sham
Melbourne,2406,Sham
Melbourne,2460,Sham
Melbourne,2206,Sham
Melbourne,2301,Sham
Melbourne,2281,Sham
Melbourne,2289,Sham
Melbourne,2294,Sham
Melbourne,2195,Sham
Melbourne,2399,TBI
Melbourne,2400,TBI
Melbourne,2401,TBI
Melbourne,2402,TBI
Melbourne,2455,TBI
Melbourne,2459,TBI
Melbourne,2461,TBI
Melbourne,2465,TBI
Melbourne,2286,TBI
Melbourne,2287,TBI
Melbourne,2291,TBI
Melbourne,2297,TBI
Melbourne,2299,TBI
Melbourne,2193,TBI
Melbourne,2119,TBI
Melbourne,2295,TBI
Melbourne,2086,TBI
Melbourne,2559,TBI
Melbourne,2560,TBI
Melbourne,2561,TBI
Melbourne,2563,TBI
Melbourne,2194,TBI
Melbourne,2403,PTE
Melbourne,2456,PTE
Melbourne,2464,PTE
Melbourne,2567,PTE
Melbourne,2293,PTE
Melbourne,2204,PTE
Melbourne,2081,PTE
Melbourne,2088,PTE
Melbourne,2568,PTE
Melbourne,2201,PTE
