id,tp,subject
1008,2d,Kuopio_2d_1008
1010,2d,Kuopio_2d_1010
1012,2d,Kuopio_2d_1012
1017,2d,Kuopio_2d_1017
1018,2d,Kuopio_2d_1018
1019,2d,Kuopio_2d_1019
1024,2d,Kuopio_2d_1024
1026,2d,Kuopio_2d_1026
1027,2d,Kuopio_2d_1027
1028,2d,Kuopio_2d_1028
1029,2d,Kuopio_2d_1029
1031,2d,Kuopio_2d_1031
1035,2d,Kuopio_2d_1035
1036,2d,Kuopio_2d_1036
1038,2d,Kuopio_2d_1038
1043,2d,Kuopio_2d_1043
1044,2d,Kuopio_2d_1044
1045,2d,Kuopio_2d_1045
1046,2d,Kuopio_2d_1046
1081,2d,Kuopio_2d_1081
1082,2d,Kuopio_2d_1082
1084,2d,Kuopio_2d_1084
1085,2d,Kuopio_2d_1085
1086,2d,Kuopio_2d_1086
1087,2d,Kuopio_2d_1087
1090,2d,Kuopio_2d_1090
1091,2d,Kuopio_2d_1091
1092,2d,Kuopio_2d_1092
1093,2d,Kuopio_2d_1093
1095,2d,Kuopio_2d_1095
1096,2d,Kuopio_2d_1096
1097,2d,Kuopio_2d_1097
1098,2d,Kuopio_2d_1098
1099,2d,Kuopio_2d_1099
1103,2d,Kuopio_2d_1103
1104,2d,Kuopio_2d_1104
1105,2d,Kuopio_2d_1105
1107,2d,Kuopio_2d_1107
1138,2d,Kuopio_2d_1138
1139,2d,Kuopio_2d_1139
1140,2d,Kuopio_2d_1140
1142,2d,Kuopio_2d_1142
1143,2d,Kuopio_2d_1143
1144,2d,Kuopio_2d_1144
1145,2d,Kuopio_2d_1145
1146,2d,Kuopio_2d_1146
1149,2d,Kuopio_2d_1149
1150,2d,Kuopio_2d_1150
1152,2d,Kuopio_2d_1152
1153,2d,Kuopio_2d_1153
1154,2d,Kuopio_2d_1154
1155,2d,Kuopio_2d_1155
1156,2d,Kuopio_2d_1156
1158,2d,Kuopio_2d_1158
1159,2d,Kuopio_2d_1159
1161,2d,Kuopio_2d_1161
1007,30d,Kuopio_30d_1007
1008,30d,Kuopio_30d_1008
1010,30d,Kuopio_30d_1010
1012,30d,Kuopio_30d_1012
1017,30d,Kuopio_30d_1017
1018,30d,Kuopio_30d_1018
1019,30d,Kuopio_30d_1019
1024,30d,Kuopio_30d_1024
1026,30d,Kuopio_30d_1026
1028,30d,Kuopio_30d_1028
1029,30d,Kuopio_30d_1029
1031,30d,Kuopio_30d_1031
1035,30d,Kuopio_30d_1035
1036,30d,Kuopio_30d_1036
1038,30d,Kuopio_30d_1038
1043,30d,Kuopio_30d_1043
1044,30d,Kuopio_30d_1044
1045,30d,Kuopio_30d_1045
1046,30d,Kuopio_30d_1046
1081,30d,Kuopio_30d_1081
1082,30d,Kuopio_30d_1082
1084,30d,Kuopio_30d_1084
1085,30d,Kuopio_30d_1085
1086,30d,Kuopio_30d_1086
1087,30d,Kuopio_30d_1087
1090,30d,Kuopio_30d_1090
1091,30d,Kuopio_30d_1091
1092,30d,Kuopio_30d_1092
1093,30d,Kuopio_30d_1093
1095,30d,Kuopio_30d_1095
1096,30d,Kuopio_30d_1096
1097,30d,Kuopio_30d_1097
1099,30d,Kuopio_30d_1099
1103,30d,Kuopio_30d_1103
1104,30d,Kuopio_30d_1104
1105,30d,Kuopio_30d_1105
1107,30d,Kuopio_30d_1107
1138,30d,Kuopio_30d_1138
1139,30d,Kuopio_30d_1139
1140,30d,Kuopio_30d_1140
1142,30d,Kuopio_30d_1142
1143,30d,Kuopio_30d_1143
1144,30d,Kuopio_30d_1144
1145,30d,Kuopio_30d_1145
1146,30d,Kuopio_30d_1146
1149,30d,Kuopio_30d_1149
1150,30d,Kuopio_30d_1150
1152,30d,Kuopio_30d_1152
1153,30d,Kuopio_30d_1153
1154,30d,Kuopio_30d_1154
1155,30d,Kuopio_30d_1155
1156,30d,Kuopio_30d_1156
1158,30d,Kuopio_30d_1158
1159,30d,Kuopio_30d_1159
1161,30d,Kuopio_30d_1161
1007,5mo,Kuopio_5mo_1007
1008,5mo,Kuopio_5mo_1008
1012,5mo,Kuopio_5mo_1012
1017,5mo,Kuopio_5mo_1017
1018,5mo,Kuopio_5mo_1018
1019,5mo,Kuopio_5mo_1019
1024,5mo,Kuopio_5mo_1024
1026,5mo,Kuopio_5mo_1026
1028,5mo,Kuopio_5mo_1028
1029,5mo,Kuopio_5mo_1029
1031,5mo,Kuopio_5mo_1031
1035,5mo,Kuopio_5mo_1035
1036,5mo,Kuopio_5mo_1036
1038,5mo,Kuopio_5mo_1038
1043,5mo,Kuopio_5mo_1043
1044,5mo,Kuopio_5mo_1044
1045,5mo,Kuopio_5mo_1045
1046,5mo,Kuopio_5mo_1046
1081,5mo,Kuopio_5mo_1081
1082,5mo,Kuopio_5mo_1082
1084,5mo,Kuopio_5mo_1084
1085,5mo,Kuopio_5mo_1085
1086,5mo,Kuopio_5mo_1086
1087,5mo,Kuopio_5mo_1087
1090,5mo,Kuopio_5mo_1090
1091,5mo,Kuopio_5mo_1091
1092,5mo,Kuopio_5mo_1092
1093,5mo,Kuopio_5mo_1093
1095,5mo,Kuopio_5mo_1095
1096,5mo,Kuopio_5mo_1096
1097,5mo,Kuopio_5mo_1097
1099,5mo,Kuopio_5mo_1099
1103,5mo,Kuopio_5mo_1103
1104,5mo,Kuopio_5mo_1104
1105,5mo,Kuopio_5mo_1105
1107,5mo,Kuopio_5mo_1107
1139,5mo,Kuopio_5mo_1139
1140,5mo,Kuopio_5mo_1140
1142,5mo,Kuopio_5mo_1142
1144,5mo,Kuopio_5mo_1144
1145,5mo,Kuopio_5mo_1145
1146,5mo,Kuopio_5mo_1146
1149,5mo,Kuopio_5mo_1149
1150,5mo,Kuopio_5mo_1150
1152,5mo,Kuopio_5mo_1152
1153,5mo,Kuopio_5mo_1153
1154,5mo,Kuopio_5mo_1154
1155,5mo,Kuopio_5mo_1155
1156,5mo,Kuopio_5mo_1156
1158,5mo,Kuopio_5mo_1158
1159,5mo,Kuopio_5mo_1159
1161,5mo,Kuopio_5mo_1161
1007,9d,Kuopio_9d_1007
1008,9d,Kuopio_9d_1008
1010,9d,Kuopio_9d_1010
1012,9d,Kuopio_9d_1012
1017,9d,Kuopio_9d_1017
1018,9d,Kuopio_9d_1018
1019,9d,Kuopio_9d_1019
1024,9d,Kuopio_9d_1024
1026,9d,Kuopio_9d_1026
1027,9d,Kuopio_9d_1027
1028,9d,Kuopio_9d_1028
1029,9d,Kuopio_9d_1029
1031,9d,Kuopio_9d_1031
1035,9d,Kuopio_9d_1035
1036,9d,Kuopio_9d_1036
1038,9d,Kuopio_9d_1038
1043,9d,Kuopio_9d_1043
1044,9d,Kuopio_9d_1044
1045,9d,Kuopio_9d_1045
1046,9d,Kuopio_9d_1046
1081,9d,Kuopio_9d_1081
1082,9d,Kuopio_9d_1082
1084,9d,Kuopio_9d_1084
1085,9d,Kuopio_9d_1085
1086,9d,Kuopio_9d_1086
1087,9d,Kuopio_9d_1087
1090,9d,Kuopio_9d_1090
1091,9d,Kuopio_9d_1091
1092,9d,Kuopio_9d_1092
1093,9d,Kuopio_9d_1093
1095,9d,Kuopio_9d_1095
1096,9d,Kuopio_9d_1096
1097,9d,Kuopio_9d_1097
1099,9d,Kuopio_9d_1099
1103,9d,Kuopio_9d_1103
1104,9d,Kuopio_9d_1104
1105,9d,Kuopio_9d_1105
1107,9d,Kuopio_9d_1107
1138,9d,Kuopio_9d_1138
1139,9d,Kuopio_9d_1139
1140,9d,Kuopio_9d_1140
1142,9d,Kuopio_9d_1142
1143,9d,Kuopio_9d_1143
1144,9d,Kuopio_9d_1144
1145,9d,Kuopio_9d_1145
1146,9d,Kuopio_9d_1146
1149,9d,Kuopio_9d_1149
1150,9d,Kuopio_9d_1150
1152,9d,Kuopio_9d_1152
1153,9d,Kuopio_9d_1153
1154,9d,Kuopio_9d_1154
1155,9d,Kuopio_9d_1155
1156,9d,Kuopio_9d_1156
1158,9d,Kuopio_9d_1158
1159,9d,Kuopio_9d_1159
1161,9d,Kuopio_9d_1161
