id,group
2079,TBI
2080,TBI
2081,TBI
2082,TBI
2083,TBI
2084,TBI
2085,Sham
2086,TBI
2088,TBI
2089,TBI
2090,Sham
2091,TBI
2118,TBI
2119,TBI
2120,TBI
2121,Sham
2123,TBI
2124,TBI
2125,TBI
2126,Sham
2127,TBI
2128,TBI
2129,TBI
2130,Sham
2193,TBI
2194,TBI
2195,Sham
2196,TBI
2197,TBI
2198,TBI
2199,TBI
2200,TBI
2201,TBI
2202,TBI
2203,TBI
2204,TBI
2205,Sham
2206,Sham
2206,Sham
2277,TBI
2278,TBI
2279,TBI
2280,TBI
2281,Sham
2282,TBI
2283,TBI
2284,Sham
2285,TBI
2286,TBI
2287,TBI
2289,Sham
2291,TBI
2292,TBI
2293,TBI
2294,Sham
2294,Sham
2295,TBI
2296,Sham
2297,TBI
2298,TBI
2299,TBI
2300,TBI
2301,Sham
2303,TBI
2399,TBI
2400,TBI
2401,TBI
2402,TBI
2403,TBI
2404,Sham
2405,Sham
2406,Sham
2454,TBI
2455,TBI
2456,TBI
2457,TBI
2458,TBI
2459,TBI
2460,Sham
2461,TBI
2463,TBI
2464,TBI
2465,TBI
2558,TBI
2559,TBI
2560,TBI
2561,TBI
2562,TBI
2563,TBI
2564,TBI
2565,TBI
2566,TBI
2567,TBI
2568,TBI
2569,TBI
2570,TBI
2571,TBI
