id,subject,group
2086,20170705_145137_EpiBios_B4C_Rat2086_M_D02_I_1_1,TBI
2086,20170711_122946_EpiBios_B4C_Rat2086_M_D09_I_1_1,TBI
2119,20170718_132351_EpiBios_B4C_Rat2119_M_1_1,TBI
2119,20170725_132859_EpiBios_B4C_Rat2119_M_1_2,TBI
2086,20170801_100055_EpiBios_B4C_Rat2086_M_W04_I_1_1,TBI
2195,20170815_092542_EpiBios_B4C_Rat2195_M_1_1,Sham
2194,20170815_111455_EpiBios_B4C_Rat2194_M_1_1,TBI
2193,20170815_131048_EpiBios_B4C_Rat2193_M_1_1,TBI
2206,20170816_112918_EpiBios_B4C_Rat2206_M_1_1,Sham
2119,20170817_115759_EpiBios_B4C_Rat2119_M_1_3,TBI
2193,20170822_093331_EpiBios_B4C_Rat2193_M_1_2,TBI
2194,20170822_113016_EpiBios_B4C_Rat2194_M_1_2,TBI
2195,20170822_131525_EpiBios_B4C_Rat2195_M_1_2,Sham
2206,20170823_095238_EpiBios_B4C_Rat2206_M_1_2,Sham
2193,20170911_095641_EpiBios_B4C_Rat2193_M_1_3,TBI
2194,20170911_113655_EpiBios_B4C_Rat2194_M_1_3,TBI
2195,20170911_131553_EpiBios_B4C_Rat2195_M_1_3,Sham
2206,20170912_095610_EpiBios_B4C_Rat2206_M_1_3,Sham
2281,20171012_115637_EpiBios_B4C_Rat2281_M_1_1,Sham
2289,20171013_095225_EpiBios_B4C_Rat2289_M_1_1,Sham
2286,20171013_115648_EpiBios_B4C_Rat2286_M_1_1,TBI
2287,20171013_140606_EpiBios_B4C_Rat2287_M_1_1,TBI
2291,20171017_094907_EpiBios_B4C_Rat2291_M_1_1,TBI
2295,20171017_155249_EpiBios_B4C_Rat2295_M_1_1,TBI
2297,20171018_112250_EpiBios_B4C_Rat2297_M_1_1,TBI
2299,20171018_132018_EpiBios_B4C_Rat2299_M_1_1,TBI
2301,20171018_160544_EpiBios_B4C_Rat2301_M_1_1,Sham
2281,20171019_122947_EpiBios_B4C_Rat2281_M_1_2,Sham
2286,20171020_094915_EpiBios_B4C_Rat2286_M_1_2,TBI
2287,20171020_114652_EpiBios_B4C_Rat2287_M_1_2,TBI
2289,20171020_133844_EpiBios_B4C_Rat2289_M_1_2,Sham
2291,20171024_094625_EpiBios_B4C_Rat2291_M_1_2,TBI
2295,20171024_153451_EpiBios_B4C_Rat2295_M_1_2,TBI
2301,20171025_094003_EpiBios_B4C_Rat2301_M_1_2,Sham
2297,20171025_113956_EpiBios_B4C_Rat2297_M_1_2,TBI
2299,20171025_133735_EpiBios_B4C_Rat2299_M_1_2,TBI
2281,20171107_121648_EpiBios_B4C_Rat2281_M_1_3,Sham
2289,20171108_101520_EpiBios_B4C_Rat2289_M_1_3,Sham
2286,20171108_121129_EpiBios_B4C_Rat2286_M_1_3,TBI
2287,20171108_140756_EpiBios_B4C_Rat2287_M_1_3,TBI
2291,20171113_133212_EpiBios_B4C_Rat2291_M_1_3,TBI
2295,20171113_152205_EpiBios_B4C_Rat2295_M_1_3,TBI
2299,20171114_100340_EpiBios_B4C_Rat2299_M_1_3,TBI
2301,20171114_114909_EpiBios_B4C_Rat2301_M_1_3,Sham
2297,20171114_132752_EpiBios_B4C_Rat2297_M_1_3,TBI
2086,20171121_121939_EpiBios_B4C_Rat2086_M_W20_I_1_1,TBI
2119,20171206_153220_EpiBios_B4C_Rat2119_M_1_4,TBI
2195,20180110_102003_EpiBios_B4C_Rat2195_M_W20_I_1_1,Sham
2194,20180110_142659_EpiBios_B4C_Rat2194_M_W20_I_1_1,TBI
2193,20180110_161731_EpiBios_B4C_Rat2193_M_W20_I_1_1,TBI
2206,20180111_165247_EpiBios_B4C_Rat2206_M_W20_I_1_1,Sham
2402,20190109_093718_TOB_EpiBios_MHR_2402_M_I_D02_1_1,TBI
2401,20190109_114422_TOB_EpiBios_MHR_2401_M_I_D02_1_1,TBI
2400,20190109_135530_TOB_EpiBios_MHR_2400_M_I_D02_1_1,TBI
2399,20190109_160920_TOB_EpiBios_MHR_2399_M_I_D02_1_1,TBI
2404,20190111_114623_TOB_EpiBios_MHR_2404_M_I_D02_1_1,Sham
2405,20190111_134812_TOB_EpiBios_MHR_2405_M_I_D02_1_1,Sham
2406,20190111_153741_TOB_EpiBios_MHR_2406_M_I_D02_1_1,Sham
2400,20190116_093712_TOB_EpiBios_MHR_2400_M_I_D09_1_2,TBI
2399,20190116_112913_TOB_EpiBios_MHR_2399_M_I_D09_1_2,TBI
2401,20190116_132757_TOB_EpiBios_MHR_2401_M_I_D09_1_2,TBI
2402,20190116_152222_TOB_EpiBios_MHR_2402_M_I_D09_1_2,TBI
2405,20190118_095733_TOB_EpiBios_MHR_2405_M_I_D09_1_2,Sham
2406,20190118_115335_TOB_EpiBios_MHR_2406_M_I_D09_1_2,Sham
2404,20190118_152253_TOB_EpiBios_MHR_2404_M_I_D09_1_2,Sham
2399,20190204_095700_TOB_EpiBios_MHR_2399_M_I_D28_1_3,TBI
2400,20190204_120101_TOB_EpiBios_MHR_2400_M_I_D28_1_3,TBI
2401,20190204_135129_TOB_EpiBios_MHR_2401_M_I_D28_1_3,TBI
2402,20190204_152911_TOB_EpiBios_MHR_2402_M_I_D28_1_3,TBI
