id,subject,tp,group
2085,20170704_120344_EpiBios_B4C_Rat2085_M_D02_I_1_1,2d,Sham
2081,20170704_134530_EpiBios_B4C_Rat2081_M_D02_I_1_1,2d,TBI
2084,20170704_153634_EpiBios_B4C_Rat2084_M_D02_I_1_1,2d,TBI
2090,20170705_103659_EpiBios_B4C_Rat2090_M_D02_I_1_1,2d,Sham
2089,20170705_130626_EpiBios_B4C_Rat2089_M_D02_I_1_1,2d,TBI
2086,20170705_145137_EpiBios_B4C_Rat2086_M_D02_I_1_1,2d,TBI
2088,20170705_170833_EpiBios_B4C_Rat2088_M_D02_I_1_1,2d,TBI
2084,20170711_105319_EpiBios_B4C_Rat2084_M_D02_I_1_2,2d,TBI
2081,20170711_113224_EpiBios_B4C_Rat2081_M_D09_I_1_1,9d,TBI
2086,20170711_122946_EpiBios_B4C_Rat2086_M_D09_I_1_1,9d,TBI
2088,20170711_124808_EpiBios_B4C_Rat2088_M_D09_I_1_1,9d,TBI
2089,20170711_131244_EpiBios_B4C_Rat2089_M_D09_I_1_1,9d,TBI
2081,20170731_104755_EpiBios_B4C_Rat2081_M_W04_1_1,1mo,TBI
2086,20170801_100055_EpiBios_B4C_Rat2086_M_W04_I_1_1,1mo,TBI
2089,20170801_114926_EpiBios_B4C_Rat2089_M_W04_I_1_1,1mo,TBI
2088,20170801_133013_EpiBios_B4C_Rat2088_M_W04_I_1_1,1mo,TBI
2081,20171121_102318_EpiBios_B4C_Rat2081_M_W20_I_1_1,tp,TBI
2086,20171121_121939_EpiBios_B4C_Rat2086_M_W20_I_1_1,tp,TBI
2088,20171122_100756_EpiBios_B4C_Rat2088_M_W20_I_1_1,tp,TBI
2089,20171122_115007_EpiBios_B4C_Rat2089_M_W20_I_1_1,tp,TBI
2195,20180110_102003_EpiBios_B4C_Rat2195_M_W20_I_1_1,tp,Sham
2199,20180110_122058_EpiBios_B4C_Rat2199_M_W20_I_1_1,tp,TBI
2194,20180110_142659_EpiBios_B4C_Rat2194_M_W20_I_1_1,tp,TBI
2193,20180110_161731_EpiBios_B4C_Rat2193_M_W20_I_1_1,tp,TBI
2205,20180111_100844_EpiBios_B4C_Rat2205_M_W20_I_1_1,tp,Sham
2204,20180111_122929_EpiBios_B4C_Rat2204_M_W20_I_1_1,tp,TBI
2201,20180111_143602_EpiBios_B4C_Rat2201_M_W20_I_1_1,tp,TBI
2206,20180111_165247_EpiBios_B4C_Rat2206_M_W20_I_1_1,tp,Sham
2206,20180111_165247_EpiBios_B4C_Rat2206_M_W20_I_1_1,tp,Sham
2402,20190109_093718_TOB_EpiBios_MHR_2402_M_I_D02_1_1,2d,TBI
2401,20190109_114422_TOB_EpiBios_MHR_2401_M_I_D02_1_1,2d,TBI
2400,20190109_135530_TOB_EpiBios_MHR_2400_M_I_D02_1_1,2d,TBI
2399,20190109_160920_TOB_EpiBios_MHR_2399_M_I_D02_1_1,2d,TBI
2403,20190111_095446_TOB_EpiBios_MHR_2403_M_I_D02_1_2,2d,TBI
2404,20190111_114623_TOB_EpiBios_MHR_2404_M_I_D02_1_1,2d,Sham
2405,20190111_134812_TOB_EpiBios_MHR_2405_M_I_D02_1_1,2d,Sham
2406,20190111_153741_TOB_EpiBios_MHR_2406_M_I_D02_1_1,2d,Sham
2400,20190116_093712_TOB_EpiBios_MHR_2400_M_I_D09_1_2,9d,TBI
2399,20190116_112913_TOB_EpiBios_MHR_2399_M_I_D09_1_2,9d,TBI
2401,20190116_132757_TOB_EpiBios_MHR_2401_M_I_D09_1_2,9d,TBI
