id,group,tp,id_tp
45,TBI,2d,45_2d
3001,Sham,2d,3001_2d
3003,Sham,2d,3003_2d
3004,Sham,2d,3004_2d
3006,Sham,2d,3006_2d
3007,Sham,2d,3007_2d
3008,Sham,2d,3008_2d
3016,TBI,2d,3016_2d
3022,TBI,2d,3022_2d
3024,TBI,2d,3024_2d
3026,TBI,2d,3026_2d
3027,TBI,2d,3027_2d
3028,TBI,2d,3028_2d
3029,Sham,2d,3029_2d
3030,TBI,2d,3030_2d
3032,TBI,2d,3032_2d
3034,TBI,2d,3034_2d
3035,TBI,2d,3035_2d
3037,TBI,2d,3037_2d
3038,Sham,2d,3038_2d
3043,TBI,2d,3043_2d
3071,TBI,2d,3071_2d
3072,TBI,2d,3072_2d
3073,TBI,2d,3073_2d
3074,TBI,2d,3074_2d
3075,Sham,2d,3075_2d
3106,TBI,2d,3106_2d
3107,TBI,2d,3107_2d
3116,TBI,2d,3116_2d
3118,Sham,2d,3118_2d
3119,TBI,2d,3119_2d
3120,Sham,2d,3120_2d
3124,TBI,2d,3124_2d
3126,TBI,2d,3126_2d
3127,TBI,2d,3127_2d
3128,TBI,2d,3128_2d
3139,TBI,2d,3139_2d
3141,TBI,2d,3141_2d
3143,TBI,2d,3143_2d
3144,Sham,2d,3144_2d
3152,TBI,2d,3152_2d
3153,TBI,2d,3153_2d
3154,TBI,2d,3154_2d
3162,TBI,2d,3162_2d
3164,TBI,2d,3164_2d
3209,TBI,2d,3209_2d
3210,TBI,2d,3210_2d
3217,TBI,2d,3217_2d
3218,TBI,2d,3218_2d
45,TBI,9d,45_9d
3001,Sham,9d,3001_9d
3003,Sham,9d,3003_9d
3004,Sham,9d,3004_9d
3006,Sham,9d,3006_9d
3007,Sham,9d,3007_9d
3008,Sham,9d,3008_9d
3016,TBI,9d,3016_9d
3022,TBI,9d,3022_9d
3024,TBI,9d,3024_9d
3026,TBI,9d,3026_9d
3027,TBI,9d,3027_9d
3028,TBI,9d,3028_9d
3029,Sham,9d,3029_9d
3030,TBI,9d,3030_9d
3032,TBI,9d,3032_9d
3034,TBI,9d,3034_9d
3035,TBI,9d,3035_9d
3037,TBI,9d,3037_9d
3038,Sham,9d,3038_9d
3043,TBI,9d,3043_9d
3071,TBI,9d,3071_9d
3072,TBI,9d,3072_9d
3073,TBI,9d,3073_9d
3074,TBI,9d,3074_9d
3075,Sham,9d,3075_9d
3106,TBI,9d,3106_9d
3107,TBI,9d,3107_9d
3116,TBI,9d,3116_9d
3118,Sham,9d,3118_9d
3119,TBI,9d,3119_9d
3120,Sham,9d,3120_9d
3124,TBI,9d,3124_9d
3126,TBI,9d,3126_9d
3127,TBI,9d,3127_9d
3128,TBI,9d,3128_9d
3139,TBI,9d,3139_9d
3141,TBI,9d,3141_9d
3143,TBI,9d,3143_9d
3144,Sham,9d,3144_9d
3152,TBI,9d,3152_9d
3153,TBI,9d,3153_9d
3154,TBI,9d,3154_9d
3162,TBI,9d,3162_9d
3164,TBI,9d,3164_9d
3209,TBI,9d,3209_9d
3210,TBI,9d,3210_9d
3217,TBI,9d,3217_9d
3218,TBI,9d,3218_9d
45,TBI,1mo,45_1mo
3001,Sham,1mo,3001_1mo
3003,Sham,1mo,3003_1mo
3004,Sham,1mo,3004_1mo
3006,Sham,1mo,3006_1mo
3007,Sham,1mo,3007_1mo
3008,Sham,1mo,3008_1mo
3016,TBI,1mo,3016_1mo
3022,TBI,1mo,3022_1mo
3024,TBI,1mo,3024_1mo
3026,TBI,1mo,3026_1mo
3027,TBI,1mo,3027_1mo
3028,TBI,1mo,3028_1mo
3029,Sham,1mo,3029_1mo
3030,TBI,1mo,3030_1mo
3032,TBI,1mo,3032_1mo
3034,TBI,1mo,3034_1mo
3035,TBI,1mo,3035_1mo
3037,TBI,1mo,3037_1mo
3038,Sham,1mo,3038_1mo
3043,TBI,1mo,3043_1mo
3071,TBI,1mo,3071_1mo
3072,TBI,1mo,3072_1mo
3073,TBI,1mo,3073_1mo
3074,TBI,1mo,3074_1mo
3075,Sham,1mo,3075_1mo
3106,TBI,1mo,3106_1mo
3107,TBI,1mo,3107_1mo
3116,TBI,1mo,3116_1mo
3118,Sham,1mo,3118_1mo
3119,TBI,1mo,3119_1mo
3120,Sham,1mo,3120_1mo
3124,TBI,1mo,3124_1mo
3126,TBI,1mo,3126_1mo
3127,TBI,1mo,3127_1mo
3128,TBI,1mo,3128_1mo
3139,TBI,1mo,3139_1mo
3141,TBI,1mo,3141_1mo
3143,TBI,1mo,3143_1mo
3144,Sham,1mo,3144_1mo
3152,TBI,1mo,3152_1mo
3153,TBI,1mo,3153_1mo
3154,TBI,1mo,3154_1mo
3162,TBI,1mo,3162_1mo
3164,TBI,1mo,3164_1mo
3209,TBI,1mo,3209_1mo
3210,TBI,1mo,3210_1mo
3217,TBI,1mo,3217_1mo
3218,TBI,1mo,3218_1mo
45,TBI,5mo,45_5mo
3001,Sham,5mo,3001_5mo
3003,Sham,5mo,3003_5mo
3004,Sham,5mo,3004_5mo
3006,Sham,5mo,3006_5mo
3007,Sham,5mo,3007_5mo
3008,Sham,5mo,3008_5mo
3016,TBI,5mo,3016_5mo
3022,TBI,5mo,3022_5mo
3024,TBI,5mo,3024_5mo
3026,TBI,5mo,3026_5mo
3027,TBI,5mo,3027_5mo
3028,TBI,5mo,3028_5mo
3029,Sham,5mo,3029_5mo
3030,TBI,5mo,3030_5mo
3032,TBI,5mo,3032_5mo
3034,TBI,5mo,3034_5mo
3035,TBI,5mo,3035_5mo
3037,TBI,5mo,3037_5mo
3038,Sham,5mo,3038_5mo
3043,TBI,5mo,3043_5mo
3071,TBI,5mo,3071_5mo
3072,TBI,5mo,3072_5mo
3073,TBI,5mo,3073_5mo
3074,TBI,5mo,3074_5mo
3075,Sham,5mo,3075_5mo
3106,TBI,5mo,3106_5mo
3107,TBI,5mo,3107_5mo
3116,TBI,5mo,3116_5mo
3118,Sham,5mo,3118_5mo
3119,TBI,5mo,3119_5mo
3120,Sham,5mo,3120_5mo
3124,TBI,5mo,3124_5mo
3126,TBI,5mo,3126_5mo
3127,TBI,5mo,3127_5mo
3128,TBI,5mo,3128_5mo
3139,TBI,5mo,3139_5mo
3141,TBI,5mo,3141_5mo
3143,TBI,5mo,3143_5mo
3144,Sham,5mo,3144_5mo
3152,TBI,5mo,3152_5mo
3153,TBI,5mo,3153_5mo
3154,TBI,5mo,3154_5mo
3162,TBI,5mo,3162_5mo
3164,TBI,5mo,3164_5mo
3209,TBI,5mo,3209_5mo
3210,TBI,5mo,3210_5mo
3217,TBI,5mo,3217_5mo
3218,TBI,5mo,3218_5mo
