subject,id,tp,group
Kuopio_2d_1008,1008,2d,TBI
Kuopio_2d_1019,1019,2d,TBI
Kuopio_2d_1024,1024,2d,TBI
Kuopio_2d_1026,1026,2d,Sham
Kuopio_2d_1027,1027,2d,TBI
Kuopio_2d_1029,1029,2d,TBI
Kuopio_2d_1035,1035,2d,Sham
Kuopio_2d_1036,1036,2d,TBI
Kuopio_2d_1038,1038,2d,TBI
Kuopio_2d_1043,1043,2d,TBI
Kuopio_2d_1044,1044,2d,TBI
Kuopio_2d_1045,1045,2d,Sham
Kuopio_2d_1046,1046,2d,TBI
Kuopio_2d_1081,1081,2d,TBI
Kuopio_2d_1082,1082,2d,TBI
Kuopio_2d_1086,1086,2d,TBI
Kuopio_2d_1087,1087,2d,TBI
Kuopio_2d_1090,1090,2d,TBI
Kuopio_2d_1091,1091,2d,Sham
Kuopio_2d_1092,1092,2d,TBI
Kuopio_2d_1096,1096,2d,Sham
Kuopio_2d_1097,1097,2d,TBI
Kuopio_2d_1099,1099,2d,TBI
Kuopio_2d_1103,1103,2d,TBI
Kuopio_2d_1104,1104,2d,TBI
Kuopio_2d_1105,1105,2d,TBI
Kuopio_2d_1138,1138,2d,TBI
Kuopio_2d_1140,1140,2d,TBI
Kuopio_2d_1144,1144,2d,TBI
Kuopio_2d_1145,1145,2d,TBI
Kuopio_2d_1146,1146,2d,Sham
Kuopio_2d_1149,1149,2d,TBI
Kuopio_2d_1150,1150,2d,TBI
Kuopio_2d_1152,1152,2d,TBI
Kuopio_2d_1153,1153,2d,TBI
Kuopio_2d_1155,1155,2d,Sham
Kuopio_2d_1156,1156,2d,TBI
Kuopio_2d_1158,1158,2d,TBI
Kuopio_2d_1159,1159,2d,TBI
Kuopio_2d_1161,1161,2d,Sham
Kuopio_30d_1007,1007,1mo,Sham
Kuopio_30d_1010,1010,1mo,TBI
Kuopio_30d_1012,1012,1mo,TBI
Kuopio_30d_1018,1018,1mo,TBI
Kuopio_30d_1024,1024,1mo,TBI
Kuopio_30d_1026,1026,1mo,Sham
Kuopio_30d_1028,1028,1mo,TBI
Kuopio_30d_1029,1029,1mo,TBI
Kuopio_30d_1031,1031,1mo,TBI
Kuopio_30d_1035,1035,1mo,Sham
Kuopio_30d_1036,1036,1mo,TBI
Kuopio_30d_1038,1038,1mo,TBI
Kuopio_30d_1043,1043,1mo,TBI
Kuopio_30d_1044,1044,1mo,TBI
Kuopio_30d_1045,1045,1mo,Sham
Kuopio_30d_1046,1046,1mo,TBI
Kuopio_30d_1082,1082,1mo,TBI
Kuopio_30d_1084,1084,1mo,TBI
Kuopio_30d_1086,1086,1mo,TBI
Kuopio_30d_1090,1090,1mo,TBI
Kuopio_30d_1091,1091,1mo,Sham
Kuopio_30d_1092,1092,1mo,TBI
Kuopio_30d_1093,1093,1mo,TBI
Kuopio_30d_1095,1095,1mo,TBI
Kuopio_30d_1096,1096,1mo,Sham
Kuopio_30d_1097,1097,1mo,TBI
Kuopio_30d_1104,1104,1mo,TBI
Kuopio_30d_1107,1107,1mo,Sham
Kuopio_30d_1138,1138,1mo,TBI
Kuopio_30d_1139,1139,1mo,TBI
Kuopio_30d_1140,1140,1mo,TBI
Kuopio_30d_1142,1142,1mo,TBI
Kuopio_30d_1144,1144,1mo,TBI
Kuopio_30d_1145,1145,1mo,TBI
Kuopio_30d_1149,1149,1mo,TBI
Kuopio_30d_1150,1150,1mo,TBI
Kuopio_30d_1152,1152,1mo,TBI
Kuopio_30d_1153,1153,1mo,TBI
Kuopio_30d_1154,1154,1mo,TBI
Kuopio_30d_1155,1155,1mo,Sham
Kuopio_30d_1158,1158,1mo,TBI
